"Module","File","Title","Subtitle"
"M0_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_A.qmd","Module 0 Assignment: Neural Networks for Regression and Classification","End-to-End Deep Learning with PyTorch"
"M0_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_highlights.qmd","Module 0: Highlights","Technology Stack Preparation & Deep Learning Foundations"
"M0_instructor01.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_instructor01.qmd","",""
"M0_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Lab1.qmd","Module 0: Lab 1","PyTorch Tensor Foundations in Google Colab"
"M0_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Lab2.qmd","Module 0: Lab 2","Math Foundations, Activations, and SGD"
"M0_Lab3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Lab3.qmd","Module 0, Lab 3: Neural Networks for Regression and Classification","California Housing (MLP Regression) and Palmer Penguins (MLP Classification)"
"M0_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_LN1.qmd","Module 0: Lecture Notes 1","Colab + GPU + Tensors (Detailed)"
"M0_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_LN2.qmd","Module 0: Lecture Notes 2","Mathematical Foundations for Neural Networks and SGD"
"M0_LN3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_LN3.qmd","Module 0, Lecture 3: Neural Networks — Regression and Classification","From Linear Models to Multilayer Perceptrons"
"M0_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_P1.qmd","AD698 - Applied Generative AI","Introduction to Version Control"
"M0_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_P2.qmd","AD698 - Applied Generative AI","Google Colab & Python Environment Setup"
"M0_P3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_P3.qmd","AD698 - Applied Generative AI","Neural Networks — Regression and Classification"
"M0_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Proj.qmd","M00 Project Launch","SEC 10-K Financial RAG: Student Build Plan"
"M0_T1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_T1.qmd","Module 0: Tutorial 1","Hands-On Google Colab + PyTorch Tensors"
"M0_T2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_T2.qmd","Module 0: Tutorial 2","Hands-On Math for Neural Networks: Activations and SGD"
"M0_T3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_T3.qmd","Module 0, Tutorial 3: Neural Networks in Practice","Single-Layer Perceptron vs. 3-Layer MLP on Simulated Data"
"M0_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M0\M0_Wrapup.qmd","Module 0: Wrap-Up","Technology Stack Preparation & Deep Learning Foundations"
"M01_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_A.qmd","Assignment 1: Rival Company Risk Fingerprints","Vocabulary, Frequency, and a First Classifier from SEC 10-K Filings"
"M01_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_highlights.qmd","Module 1: Highlights","Language Probability and Representation"
"M01_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_Lab1.qmd","Module 1 - Lab 1","From Raw Text to NLP Pipelines (SEC 10-K)"
"M01_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_Lab2.qmd","Module 1 - Lab 2","Word Embeddings and Neural Text Representations"
"M01_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_LN1.qmd","AD698 - Applied Generative AI","Early Neural Networks & Natural Language Processing"
"M01_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_LN2.qmd","M01: Lecture Note 2","Language, Probability, and Generative Systems"
"M01_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_P1.qmd","AD698 - Applied Generative AI","Introduction to Generative AI & Business Applications"
"M01_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_P2.qmd","AD698 - Applied Generative AI","Language, Probability, and Generative Systems"
"M01_participation1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_participation1.qmd","Participation 1: AWS Generative AI Foundations Certification","10-Week Recommended Plan"
"M01_participation2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_participation2.qmd","Module 1: Participation 2","Group Paper Presentation"
"M01_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_Proj.qmd","Business Running Case: SEC 10-K Financial RAG","Project Instructions I - Complete Pipeline Overview and Step 1"
"M01_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M1\M01_Wrapup.qmd","Module 1: Wrap-Up","Language Probability and Representation"
"M02_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_A.qmd","Assignment 2: From Frequency to Meaning","Word Embeddings and the Geometry of Rivalry in SEC 10-K Filings"
"M02_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_highlights.qmd","Module 2: Highlights","Meaning and Structured Text"
"M02_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_Lab1.qmd","M02: Lab 1","Neural Language Modeling with PyTorch LSTM"
"M02_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_Lab2.qmd","M02 Lab02",""
"M02_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_LN1.qmd","M02: Lecture Note 1","Mathematical Foundations Through Language Modeling"
"M02_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_LN2.qmd","M02: Lecture Note 2","From Words to Structured Text"
"M02_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_P1.qmd","AD698 - Applied Generative AI","Language Modeling, Structured Prediction, & Evaluation"
"M02_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_P2.qmd","AD698 - Applied Generative AI","From Words to Structured Text"
"M02_participation1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_participation1.qmd","Participation 1: AWS Generative AI Foundations Certification","10-Week Recommended Plan"
"M02_participation2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_participation2.qmd","Module 2: Participation 2","Group Paper Presentation"
"M02_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_Proj.qmd","Business Running Case: SEC 10-K Financial RAG","Project Instructions II - Step 2 (Item Selection, Cleaning, and EDA)"
"M02_T1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_T1.qmd","M02: Tutorial 1","Extracting Strategic Technology Signals from Form 10-K"
"M02_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M2\M02_Wrapup.qmd","Module 2: Wrap-Up","Meaning and Structured Text"
"M03_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_A.qmd","M03 Assignment",""
"M03_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_highlights.qmd","Module 3: Highlights","Prompting and Semantic Geometry"
"M03_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_Lab1.qmd","M03: Lab 1","Retrieval-Augmented Generation with FAISS and ChromaDB"
"M03_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_Lab2.qmd","M03 Lab02",""
"M03_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_LN1.qmd","M03: Lecture Note 1","Prompting as System Design"
"M03_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_LN2.qmd","M03: Lecture Note 2","Tokenization, Embeddings, and Semantic Geometry"
"M03_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_P1.qmd","AD698 - Applied Generative AI","Text Generation with Large Language Models"
"M03_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_P2.qmd","AD698 - Applied Generative AI","Language Modeling Foundations, Transformer Mechanics, and Semantic Geometry"
"M03_participation1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_participation1.qmd","Participation 1: AWS Generative AI Foundations Certification","10-Week Recommended Plan"
"M03_participation2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_participation2.qmd","Module 3: Participation 2","Group Paper Presentation"
"M03_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_Proj.qmd","Business Running Case: SEC 10-K Financial RAG","Project Instructions III - Step 3 (Chunking, Embeddings, and Vector Index)"
"M03_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M3\M03_Wrapup.qmd","Module 3: Wrap-Up","Prompting and Semantic Geometry"
"m03_l01_content","D:\Repositories\AD698-generative-ai-for-BA\M3\m03_l01_content\index.qmd","",""
"m03_l01_content","D:\Repositories\AD698-generative-ai-for-BA\M3\m03_l01_content\language-model.qmd","",""
"m03_l01_content","D:\Repositories\AD698-generative-ai-for-BA\M3\m03_l01_content\sequence.qmd","",""
"m03_l01_content","D:\Repositories\AD698-generative-ai-for-BA\M3\m03_l01_content\text-sequence.qmd","",""
"m03_l02_content","D:\Repositories\AD698-generative-ai-for-BA\M3\m03_l02_content\rnn.qmd","",""
"M04_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_A.qmd","Assignment 3: What Does Attention See?","Transformers, Encoder vs. Decoder, and the Language of Rivals"
"M04_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_highlights.qmd","Module 4: Highlights","Model Architectures"
"M04_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_Lab1.qmd","M04: Lab 1","Implementing Attention Mechanisms in PyTorch"
"M04_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_Lab2.qmd","M04: Lab 2","Fine-Tuning a Transformer for Text Classification"
"M04_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_LN1.qmd","M04: Lecture Note 1","Transformers, Attention, and Context"
"M04_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_LN2.qmd","M04: Lecture Note 2","Training Paradigms and Fine-Tuning Pipelines"
"M04_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_P1.qmd","AD698 - Applied Generative AI","Transformers Attention and Context"
"M04_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_P2.qmd","M04: Lecture 2","Training Paradigms and Fine-Tuning Pipelines"
"M04_participation1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_participation1.qmd","Participation 1: AWS Generative AI Foundations Certification","10-Week Recommended Plan"
"M04_participation2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_participation2.qmd","Module 4: Participation 2","Group Paper Presentation"
"M04_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_Proj.qmd","Business Running Case: SEC 10-K Financial RAG","Project Checkpoint - Mid-Project Progress Review"
"M04_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M4\M04_Wrapup.qmd","Module 4: Wrap-Up","Model Architectures"
"M05_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_A.qmd","Assignment 4: Three Ways to Answer a Financial Question","Prompting, Retrieval, and Evaluation Methods for SEC 10-K Analysis"
"M05_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_highlights.qmd","Module 5: Highlights","Retrieval and Grounded Generation"
"M05_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_Lab1.qmd","M05: Lab 1","Build the Retrieval Layer for Assignment 4"
"M05_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_Lab2.qmd","M05: Lab 2","Evaluate Prompt-only vs RAG vs Pretraining-only"
"M05_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_LN1.qmd","AD698 - Applied Generative AI","M05 Lecture Note 01: RAG Foundations and Retrieval"
"M05_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_LN2.qmd","AD698 - Applied Generative AI","M05 Lecture Note 02: Generation, Evaluation, and Production RAG"
"M05_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_P1.qmd","AD698 - Applied Generative AI","M05 P1 - RAG Foundations and Retrieval Systems"
"M05_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_P2.qmd","AD698 - Applied Generative AI","M05 P2 - RAG Generation, Evaluation, and Production"
"M05_participation1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_participation1.qmd","Participation 1: AWS Generative AI Foundations Certification","10-Week Recommended Plan"
"M05_participation2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_participation2.qmd","Module 5: Participation 2","Group Paper Presentation"
"M05_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_Proj.qmd","Business Running Case: SEC 10-K Financial RAG","Project Instructions V - Step 4, Final Packaging, and Report"
"M05_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M5\M05_Wrapup.qmd","Module 5: Wrap-Up","Retrieval and Grounded Generation"
"M06_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_A.qmd","M06 Assignment",""
"M06_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_highlights.qmd","Module 6: Highlights","Adaptation and Insight"
"M06_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_Lab1.qmd","M06: Lab 1","AI-assisted financial forecasting in SQL"
"M06_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_Lab2.qmd","M06 Lab02",""
"M06_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_LN1.qmd","AD698 - Applied Generative AI","Agentic AI: A Theoretical Framework for Building Autonomous Systems"
"M06_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_LN2.qmd","AD698 - Applied Generative AI","Building Agentic AI: A Practical Walkthrough"
"M06_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_P1.qmd","AD698 - Applied Generative AI","Agentic AI: A Theoretical Framework for Building Autonomous Systems"
"M06_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_P2.qmd","M06 Presentation 02","Building Agentic AI: A Practical Walkthrough"
"M06_participation1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_participation1.qmd","Participation 1: AWS Generative AI Foundations Certification","10-Week Recommended Plan"
"M06_participation2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_participation2.qmd","Module 6: Participation 2","Group Paper Presentation"
"M06_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_Proj.qmd","Business Running Case: SEC 10-K Financial RAG","Project Instructions VI - Final Presentation and Team Assessment"
"M06_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M6\M06_Wrapup.qmd","Module 6: Wrap-Up","Adaptation and Insight"
"M07_A.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_A.qmd","Assignment 2: AI-Driven Decision Intelligence","M07 Assignment"
"M07_highlights.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_highlights.qmd","Module 7: Highlights","Context and Multimodality"
"M07_Lab1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_Lab1.qmd","M07: Lab 1","Creating interactive dashboards with Plotly/Dash"
"M07_Lab2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_Lab2.qmd","M07 Lab02",""
"M07_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_LN1.qmd","M07: Lecture Notes","AI-Powered Business Dashboards"
"M07_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_LN2.qmd","M07 Lecture Note 02",""
"M07_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_P1.qmd","AD698 - Applied Generative AI","LLM Evaluation & Multimodal Large Language Models"
"M07_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_P2.qmd","M07 Presentation 02",""
"M07_participation1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_participation1.qmd","Participation 1: AWS Generative AI Foundations Certification","10-Week Recommended Plan"
"M07_participation2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_participation2.qmd","Module 7: Participation 2","Group Paper Presentation"
"M07_Proj.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_Proj.qmd","Dashboard Design Strategy","M07 Project Milestone"
"M07_Wrapup.qmd","D:\Repositories\AD698-generative-ai-for-BA\M7\M07_Wrapup.qmd","Module 7: Wrap-Up","Context and Multimodality — Course Conclusion"
"M08_LN1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M8\M08_LN1.qmd","AD698 - Applied Generative AI","Neural Networks for Classification and Regression"
"M08_LN2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M8\M08_LN2.qmd","M07: Lecture Notes","AI-Powered Business Dashboards"
"M08_LN3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M8\M08_LN3.qmd","AD698 - Applied Generative AI","Mastering BERT from Scratch with Pytorch"
"M08_LN4.qmd","D:\Repositories\AD698-generative-ai-for-BA\M8\M08_LN4.qmd","M07: Lecture Notes","AI-Powered Business Dashboards"
"M08_P1.qmd","D:\Repositories\AD698-generative-ai-for-BA\M8\M08_P1.qmd","AD698 - Applied Generative AI","Language Modeling, Structured Prediction, & Evaluation"
"M08_P2.qmd","D:\Repositories\AD698-generative-ai-for-BA\M8\M08_P2.qmd","AD698 - Applied Generative AI","Language Modeling, Structured Prediction, & Evaluation"
"M08_P3.qmd","D:\Repositories\AD698-generative-ai-for-BA\M8\M08_P3.qmd","AD698 - Applied Generative AI","Language Modeling, Structured Prediction, & Evaluation"
"M08_P4.qmd","D:\Repositories\AD698-generative-ai-for-BA\M8\M08_P4.qmd","AD698 - Applied Generative AI","Language Modeling, Structured Prediction, & Evaluation"
"m08_l01_content","D:\Repositories\AD698-generative-ai-for-BA\M8\m08_l01_content\1.neural-network-regression.qmd","",""
